PEP 279 | draft| say | It says pretty much what we mean number these items , i e. assign a number to each one .|It says pretty much what we mean number these items , i e. assign a number to each one .
PEP null | | discussion | |1 PyCon 2012 Namespace Package discussion outcome http mail python org pipermail import sig 2012 March 000421 html
PEP null | | discussion | |1 PyCon 2012 Namespace Package discussion outcome http mail python org pipermail import sig 2012 March 000421 html
PEP null | | discussion | |1 PyCon 2012 Namespace Package discussion outcome http mail python org pipermail import sig 2012 March 000421 html
PEP null | | discussion | |1 PyCon 2012 Namespace Package discussion outcome http mail python org pipermail import sig 2012 March 000421 html
PEP 420 | rejected| discussion | diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012, we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected, to be replaced by this PEP 2 .|diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP 2 .
PEP 420 | rejected| discussion | diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012, we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected, to be replaced by this PEP 2 .|diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP 2 .
PEP 420 | rejected| discussion | diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012, we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected, to be replaced by this PEP 2 .|diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP 2 .
PEP 420 | rejected| discussion | diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012, we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected, to be replaced by this PEP 2 .|diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP 2 .
PEP 420 | rejected| discussion | diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012, we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected, to be replaced by this PEP 2 .|diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP 2 .
PEP 420 | rejected| discussion | diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012, we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected, to be replaced by this PEP 2 .|diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP 2 .
PEP 420 | rejected| discussion | diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012, we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected, to be replaced by this PEP 2 .|diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP 2 .
PEP 420 | rejected| discussion | diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012, we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected, to be replaced by this PEP 2 .|diff git a pep 0420 txt b pep 0420 txt b pep 0420 txt 172,12 172,13 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP 2 .
PEP null | | issues | |I 'll open new issues as needed .
PEP 421 | accepted| reviewed | As the newly self appointed PEP 421 czar, I hereby accept this PEP.|I have not yet reviewed the patches in issue 14673 , but the last message on that item indicates the patch is not yet up-to-date with the PEP description .
PEP 421 | accepted| addressing | As the newly self appointed PEP 421 czar, I hereby accept this PEP.|Eric , you 've done a masterful job at balancing and addressing the input from the Python development community , and the PEP looks great .
PEP 421 | bdfl_delegate_accepted_pep| reviewed | As the newly self appointed PEP 421 czar, I hereby accept this PEP.|I have not yet reviewed the patches in issue 14673 , but the last message on that item indicates the patch is not yet up-to-date with the PEP description .
PEP 421 | bdfl_delegate_accepted_pep| addressing | As the newly self appointed PEP 421 czar, I hereby accept this PEP.|Eric , you 've done a masterful job at balancing and addressing the input from the Python development community , and the PEP looks great .
PEP 421 | bdfl_delegate_accepted_pep| reviewed | As the newly self appointed PEP 421 czar, I hereby accept this PEP.|I have not yet reviewed the patches in issue 14673 , but the last message on that item indicates the patch is not yet up-to-date with the PEP description .
PEP 421 | bdfl_delegate_accepted_pep| addressing | As the newly self appointed PEP 421 czar, I hereby accept this PEP.|Eric , you 've done a masterful job at balancing and addressing the input from the Python development community , and the PEP looks great .
PEP 421 | rejected| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib.|This PEP has been withdrawn by its author , as much of the detailed design is no longer valid following the migration to importlib in Python 3.3 .
PEP 421 | rejected| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib.|This PEP has been withdrawn by its author , as much of the detailed design is no longer valid following the migration to importlib in Python 3.3 .
PEP 421 | rejected| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib.|This PEP has been withdrawn by its author , as much of the detailed design is no longer valid following the migration to importlib in Python 3.3 .
PEP 421 | rejected_by_author| withdrawn | This PEP is rejected by its author, because it has been superseded by the new importlib.|This PEP has been withdrawn by its author , as much of the detailed design is no longer valid following the migration to importlib in Python 3.3 .
PEP 422 | withdrawn| say | I suggest some kind of clarification that PEP 422 has been withdrawn.|I know the header says replaces , which is why I find the current wording confusing .
PEP null | | reason | |There is just this weird hint in the docs that you should use __ new __ for metaclasses , not __ init __ , a hint I never understood as the reasons when to use __ new __ or __ init __ are precisely the same for normal classes and metaclasses .
PEP 422 | rejected| response | There have been a few PEPs where part of the proposal made the cut but didn't go anywhere because the whole PEP was rejected.|I 've brought up the idea a couple of times on this list and got a positive response -LRB- or so I remember <wink> -RRB- and was still planning on pursuing the matter in time for Python 3.7 .
PEP 422 | rejected| positive | There have been a few PEPs where part of the proposal made the cut but didn't go anywhere because the whole PEP was rejected.|I 've brought up the idea a couple of times on this list and got a positive response -LRB- or so I remember <wink> -RRB- and was still planning on pursuing the matter in time for Python 3.7 .
PEP 422 | rejected| response | There have been a few PEPs where part of the proposal made the cut but didn't go anywhere because the whole PEP was rejected.|I 've brought up the idea a couple of times on this list and got a positive response -LRB- or so I remember <wink> -RRB- and was still planning on pursuing the matter in time for Python 3.7 .
PEP 422 | rejected| positive | There have been a few PEPs where part of the proposal made the cut but didn't go anywhere because the whole PEP was rejected.|I 've brought up the idea a couple of times on this list and got a positive response -LRB- or so I remember <wink> -RRB- and was still planning on pursuing the matter in time for Python 3.7 .
PEP 422 | wrote_pep| pronounce | I wrote PEP 422 simple class initialization hook last year after PJE pointed out that Python 3 style metaclasses made some Python 2 code impossible to migrate since the class body could no longer request modifications to be made to the class after initialization was complete .|for pronouncement
PEP null | | discussion | |Heh , one of the main reasons PEP 422 ended up languishing for so long is that I started putting more time into other projects -LRB- PyPA , the PSF , the import system , Python 3 advocacy , etc -RRB- , so with both you & me occupied elsewhere , we did n't really have anyone driving the discussion forward on the metaclass machinery side of things .
PEP null | | reason | |Heh , one of the main reasons PEP 422 ended up languishing for so long is that I started putting more time into other projects -LRB- PyPA , the PSF , the import system , Python 3 advocacy , etc -RRB- , so with both you & me occupied elsewhere , we did n't really have anyone driving the discussion forward on the metaclass machinery side of things .
PEP null | | arguments | |In a classical inheritance scheme using the method resolution order , each init subclass may take out it 's keyword arguments until none are left , which is checked by the default implementation of init subclass .
PEP null | | arguments | |__ init __ `` just ignores keyword arguments .
PEP null | | arguments | |Currently , it insists that no keyword arguments are given .
PEP null | | arguments | |This leads to a -LRB- wanted -RRB- error if one gives keyword arguments to a class declaration if the metaclass does not process them .
PEP null | | arguments | |Metaclass authors that do want to accept keyword arguments must filter them out by overriding `` __ init ___ `` .
PEP null | | arguments | |In the new code , it is not init that complains about keyword arguments , but init subclass , whose default implementation takes no arguments .
PEP null | | arguments | |In a classical inheritance scheme using the method resolution order , each init subclass may take out it 's keyword arguments until none are left , which is checked by the default implementation of init subclass .
PEP 422 | updated| reviewed | The PEP should be effectively done, I updated the examples in it, given that I implemented the PEP I could actually test the examples, so now they work.|Unfortunately nobody has reviewed the patch yet .
PEP 422 | updated| reviewed | The PEP should be effectively done, I updated the examples in it, given that I implemented the PEP I could actually test the examples, so now they work.|Unfortunately nobody has reviewed the patch yet .
PEP null | | arguments | |In a classical inheritance scheme using the method resolution order , each init subclass may take out it 's keyword arguments until none are left , which is checked by the default implementation of init subclass .
PEP null | | arguments | |__ init __ `` just ignores keyword arguments .
PEP null | | arguments | |Currently , it insists that no keyword arguments are given .
PEP null | | arguments | |This leads to a -LRB- wanted -RRB- error if one gives keyword arguments to a class declaration if the metaclass does not process them .
PEP null | | arguments | |Metaclass authors that do want to accept keyword arguments must filter them out by overriding `` __ init ___ `` .
PEP null | | arguments | |In the new code , it is not init that complains about keyword arguments , but init subclass , whose default implementation takes no arguments .
PEP null | | arguments | |In a classical inheritance scheme using the method resolution order , each init subclass may take out it 's keyword arguments until none are left , which is checked by the default implementation of init subclass .
PEP null | | issues | |https://github.com/pypa/virtualenv/issues/495
PEP 425 | draft| feedback | This PEP is an updated version of the draft manylinux1 PEP posted to this list a couple days ago by Nathaniel and myself.|The changes reflect the discussion on the list thanks to everyone for all of the feedback , and generally go to the clarity and precision of the text .
PEP 425 | draft| discussion | This PEP is an updated version of the draft manylinux1 PEP posted to this list a couple days ago by Nathaniel and myself.|The changes reflect the discussion on the list thanks to everyone for all of the feedback , and generally go to the clarity and precision of the text .
PEP null | | reason | |These posts also address why a `` Conflicts '' field is * also * unlikely to be particularly useful in practice , in part for reasons that relate to differences between RPM-land and Python-land .
PEP null | | issues | |-LRB- For example , RPMs can conflict over things besides files , due to runtime and configuration issues that are out-of-scope for a Python installer tool . -RRB-
PEP 426 | accepted| interest | But the pip developers don't want to integrate the wheel format just because it exists they want the assurance that it's an accepted format supported by PEPs, hence the interest in getting the 3 wheel PEPs of which the metadata PEP is the first accepted.|But the pip developers do n't want to integrate the wheel format just because it exists they want the assurance that it 's an accepted format supported by PEPs , hence the interest in getting the 3 wheel PEPs of which the metadata PEP is the first accepted .
PEP 426 | accepted| interest | But the pip developers don't want to integrate the wheel format just because it exists they want the assurance that it's an accepted format supported by PEPs, hence the interest in getting the 3 wheel PEPs of which the metadata PEP is the first accepted.|But the pip developers do n't want to integrate the wheel format just because it exists they want the assurance that it 's an accepted format supported by PEPs , hence the interest in getting the 3 wheel PEPs of which the metadata PEP is the first accepted .
PEP 426 | deferred| issues | Further consideration of this PEP has been deferred at least until after PEP 426 package metadata 2.0 and related updates have been resolved.|Rationale : issues related to names
PEP null | | stalled | |The PEP 426 scope should be mainly focused on dependency resolution , other installer requirements and interactions between installed distributions exports .
PEP null | | stalled | |The PEP 426 scope should be mainly focused on dependency resolution , other installer requirements and interactions between installed distributions exports .
PEP null | | reason | |Seems reasonable .
PEP null | | rant | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | ranted | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | ranted | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | reason | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | rant | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | rant | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | ranted | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | ranted | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | ranted | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | ranted | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | reason | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP null | | reason | |We seem to take this sort of dependency resolution for granted in Linux distros , but for some reason Python packaging has to make do with a clunkier approach ?
PEP 426 | accepted| reason | I would hope that when PEP 426 is accepted, distutils will be updated to allow writing of Metadata 1.3 format.|I see no reason to * not * reuse existing core code , but equally I do n't particularly intend myself to add metadata 1.3 support to distutils .
PEP 426 | accepted| reason | I would hope that when PEP 426 is accepted, distutils will be updated to allow writing of Metadata 1.3 format.|I see no reason to * not * reuse existing core code , but equally I do n't particularly intend myself to add metadata 1.3 support to distutils .
PEP null | | stalled | |IIUC pkg resources does n't just check whether something 's installed but attempts to add the requirements of the entry point 's distribution and any requested extras to sys path as part of resolution .
PEP null | | stalled | |IIUC pkg resources does n't just check whether something 's installed but attempts to add the requirements of the entry point 's distribution and any requested extras to sys path as part of resolution .
PEP null | | reason | |That said , one of the reasons PEP 426 calls out the essential dependency resolution fields is that those are the ones I think it may make sense to embed in the TUF custom metadata fields .
PEP null | | reason | |That said , one of the reasons PEP 426 calls out the essential dependency resolution fields is that those are the ones I think it may make sense to embed in the TUF custom metadata fields .
PEP null | | issues | |I 'm personally sold on the technology itself as something we should deploy in the long run , but I think it makes sense to wait until we have the static dependency metadata publication and various other PyPI related infrastructure issues sorted out before we try to offer additional protection above and beyond trusting the SSL CA system and PyPI itself .
PEP null | | issues | |extensions defining the minimum CLI command and option requirements for setup py although I 'd love to delegate this one to someone that either already has greater setuptools distutils knowledge than mine , or else is willing to do the research on the currently supported command options resolution of the issues on the BitBucket tracker
PEP null | | issues | |extensions defining the minimum CLI command and option requirements for setup py although I 'd love to delegate this one to someone that either already has greater setuptools distutils knowledge than mine , or else is willing to do the research on the currently supported command options resolution of the issues on the BitBucket tracker
PEP null | | issues | |extensions defining the minimum CLI command and option requirements for setup py although I 'd love to delegate this one to someone that either already has greater setuptools distutils knowledge than mine , or else is willing to do the research on the currently supported command options resolution of the issues on the BitBucket tracker
PEP null | | response | |More accurately , the response will still be let 's investigate and see exactly what 's going wrong .
PEP null | | say | |That 's not to say that distutils is perfect , far from it , but creating a new and improved build tool that 's is capable of dealing with the complexities of compiler variations will be a large project in its own right even without migrating existing projects to it .
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * accept remotely available pre-releases for version specifiers where there is no final or post release that satisfies the version specifier * exclude all other pre-releases from consideration
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * accept remotely available pre-releases for version specifiers where there is no final or post release that satisfies the version specifier * exclude all other pre-releases from consideration
PEP null | | stalled | |* accepting pre-releases for all version specifiers * excluding pre-releases for all version specifiers -LRB- reporting an error or warning if a pre-release is already installed locally , or if a pre-release is the only way to satisfy a particular specifier -RRB-
PEP null | | stalled | |* accepting pre-releases for all version specifiers * excluding pre-releases for all version specifiers -LRB- reporting an error or warning if a pre-release is already installed locally , or if a pre-release is the only way to satisfy a particular specifier -RRB-
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * accept remotely available pre-releases for version specifiers where there is no final or post release that satisfies the version specifier * exclude all other pre-releases from consideration
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * accept remotely available pre-releases for version specifiers where there is no final or post release that satisfies the version specifier * exclude all other pre-releases from consideration
PEP null | | stalled | |* accepting pre-releases for all version specifiers * excluding pre-releases for all version specifiers -LRB- reporting an error or warning if a pre-release is already installed locally , or if a pre-release is the only way to satisfy a particular specifier -RRB-
PEP null | | stalled | |* accepting pre-releases for all version specifiers * excluding pre-releases for all version specifiers -LRB- reporting an error or warning if a pre-release is already installed locally , or if a pre-release is the only way to satisfy a particular specifier -RRB-
PEP 426 | deferred| interest | Work on distlib has slowed right down since around the time when PEP 426 was deferred indefinitely, and there seems to be little interest in progressing via metadata or other standardisation we have to go by what the de facto tools setuptools, wheel choose to do.|Work on distlib has slowed right down since around the time when PEP 426 was deferred indefinitely , and there seems to be little interest in progressing via metadata or other standardisation we have to go by what the de facto tools setuptools , wheel choose to do .
PEP 426 | deferred| interest | Work on distlib has slowed right down since around the time when PEP 426 was deferred indefinitely, and there seems to be little interest in progressing via metadata or other standardisation we have to go by what the de facto tools setuptools, wheel choose to do.|Work on distlib has slowed right down since around the time when PEP 426 was deferred indefinitely , and there seems to be little interest in progressing via metadata or other standardisation we have to go by what the de facto tools setuptools , wheel choose to do .
PEP null | | stalled | |But the approach had some promise , in my view , and certainly showed that purely declarative packages which did n't use e g. custom build and install distutils setuptools commands could be installed using a completely different tool than distutils setuptools without package authors having to change anything beyond staying purely declarative .
PEP null | | arguments | |This included not just the data for installation but even the data for package build , where it was purely declarative at the arguments-to-setup -LRB- -RRB- level .
PEP 426 | replaced| obsolete | IIUC PEP 345, the predecessor of PEP 426, replaced Requires with Requires Dist because the former was never very well specified, easier to re name the field rather than redefine it.|It would make sense to go ahead and delete the obsolete fields , I 'm sure they were overlooked because they are not common in the wild .
PEP 426 | draft| addressed | The standard build system currently described in the PEP is a draft based on existing practices for projects using distutils or setuptools as their build system or other projects, like d2to1 , that expose a setup py file for backwards compatibility with existing tools|The specification does n't currently cover expected argument support for the commands , which is a limitation that needs to be addressed before the PEP can be considered ready for acceptance .
PEP 426 | draft| addressed | The standard build system currently described in the PEP is a draft based on existing practices for projects using distutils or setuptools as their build system or other projects, like d2to1 , that expose a setup py file for backwards compatibility with existing tools|The specification does n't currently cover expected argument support for the commands , which is a limitation that needs to be addressed before the PEP can be considered ready for acceptance .
PEP 426 | draft| addressed | The standard build system currently described in the PEP is a draft based on existing practices for projects using distutils or setuptools as their build system or other projects, like d2to1 , that expose a setup py file for backwards compatibility with existing tools|The specification does n't currently cover expected argument support for the commands , which is a limitation that needs to be addressed before the PEP can be considered ready for acceptance .
PEP 426 | draft| addressed | The standard build system currently described in the PEP is a draft based on existing practices for projects using distutils or setuptools as their build system or other projects, like d2to1 , that expose a setup py file for backwards compatibility with existing tools|The specification does n't currently cover expected argument support for the commands , which is a limitation that needs to be addressed before the PEP can be considered ready for acceptance .
PEP 426 | draft| addressed | The standard build system currently described in the PEP is a draft based on existing practices for projects using distutils or setuptools as their build system or other projects, like d2to1 , that expose a setup py file for backwards compatibility with existing tools|The specification does n't currently cover expected argument support for the commands , which is a limitation that needs to be addressed before the PEP can be considered ready for acceptance .
PEP 426 | draft| addressed | The standard build system currently described in the PEP is a draft based on existing practices for projects using distutils or setuptools as their build system or other projects, like d2to1 , that expose a setup py file for backwards compatibility with existing tools|The specification does n't currently cover expected argument support for the commands , which is a limitation that needs to be addressed before the PEP can be considered ready for acceptance .
PEP null | | obsolete | |* `` metadata_version `` * `` generator `` * `` name `` * `` version `` * `` source_label `` * `` source_url `` * `` extras `` * `` meta_requires `` * `` run_requires `` * `` test_requires `` * `` build_requires `` * `` dev_requires `` * `` provides `` * `` obsoleted_by `` * `` supports_environments ``
PEP null | | obsoleted | |* `` metadata_version `` * `` generator `` * `` name `` * `` version `` * `` source_label `` * `` source_url `` * `` extras `` * `` meta_requires `` * `` run_requires `` * `` test_requires `` * `` build_requires `` * `` dev_requires `` * `` provides `` * `` obsoleted_by `` * `` supports_environments ``
PEP null | | stalled | |Installation tools MUST ensure the distribution is fully installed , and available through the import system and installation database when invoking install hooks .
PEP null | | arguments | |Installation tools MUST call install hooks solely with keyword arguments .
PEP null | | obsolete | |* `` metadata_version `` * `` generator `` * `` name `` * `` version `` * `` source_label `` * `` source_url `` * `` extras `` * `` meta_requires `` * `` run_requires `` * `` test_requires `` * `` build_requires `` * `` dev_requires `` * `` provides `` * `` obsoleted_by `` * `` supports_environments ``
PEP null | | obsoleted | |* `` metadata_version `` * `` generator `` * `` name `` * `` version `` * `` source_label `` * `` source_url `` * `` extras `` * `` meta_requires `` * `` run_requires `` * `` test_requires `` * `` build_requires `` * `` dev_requires `` * `` provides `` * `` obsoleted_by `` * `` supports_environments ``
PEP null | | stalled | |Installation tools MUST ensure the distribution is fully installed , and available through the import system and installation database when invoking install hooks .
PEP null | | arguments | |Installation tools MUST call install hooks solely with keyword arguments .
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |txt @@ -975,6 +975,9 @@ * accept already installed pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |txt @@ -975,6 +975,9 @@ * accept already installed pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |Installation tools MUST ensure the distribution is fully installed , and available through the import system and installation database when invoking install hooks .
PEP null | | arguments | |Installation tools MUST call install hooks solely with keyword arguments .
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * accept remotely available pre-releases for version specifiers which include at least one version clauses that references a pre-release * accept remotely available pre-releases for version specifiers where there is no final or post release that satisfies the version specifier * exclude all other pre-releases from consideration
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * accept remotely available pre-releases for version specifiers which include at least one version clauses that references a pre-release * accept remotely available pre-releases for version specifiers where there is no final or post release that satisfies the version specifier * exclude all other pre-releases from consideration
PEP null | | stalled | |* accepting pre-releases for all version specifiers * excluding pre-releases for all version specifiers -LRB- reporting an error or warning if a pre-release is already installed locally -RRB- warning if a pre-release is already installed locally , or if a pre-release is the only way to satisfy a particular specifier -RRB-
PEP null | | stalled | |* accepting pre-releases for all version specifiers * excluding pre-releases for all version specifiers -LRB- reporting an error or warning if a pre-release is already installed locally -RRB- warning if a pre-release is already installed locally , or if a pre-release is the only way to satisfy a particular specifier -RRB-
PEP null | | stalled | |Installation tools MUST ensure the distribution is fully installed , and available through the import system and installation database when invoking install hooks .
PEP null | | arguments | |Installation tools MUST call install hooks solely with keyword arguments .
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * accept remotely available pre-releases for version specifiers which include at least one version clauses that references a pre-release * accept remotely available pre-releases for version specifiers where there is no final or post release that satisfies the version specifier * exclude all other pre-releases from consideration
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * accept remotely available pre-releases for version specifiers which include at least one version clauses that references a pre-release * accept remotely available pre-releases for version specifiers where there is no final or post release that satisfies the version specifier * exclude all other pre-releases from consideration
PEP null | | stalled | |* accepting pre-releases for all version specifiers * excluding pre-releases for all version specifiers -LRB- reporting an error or warning if a pre-release is already installed locally -RRB- warning if a pre-release is already installed locally , or if a pre-release is the only way to satisfy a particular specifier -RRB-
PEP null | | stalled | |* accepting pre-releases for all version specifiers * excluding pre-releases for all version specifiers -LRB- reporting an error or warning if a pre-release is already installed locally -RRB- warning if a pre-release is already installed locally , or if a pre-release is the only way to satisfy a particular specifier -RRB-
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | stalled | |* accept already installed pre-releases for all version specifiers * retrieve and install available pre-releases for all version specifiers
PEP null | | rant | |So i 'm looking for a solution that would allow to use the same artifact for everything -LRB- like jar -RRB- so it can guarantee that the same subset of code that was tested , goes to production and used in dev .
PEP null | | rant | |So i 'm looking for a solution that would allow to use the same artifact for everything -LRB- like jar -RRB- so it can guarantee that the same subset of code that was tested , goes to production and used in dev .
PEP 427 | draft| feedback | This PEP is an updated version of the draft manylinux1 PEP posted to this list a couple days ago by Nathaniel and myself.|The changes reflect the discussion on the list thanks to everyone for all of the feedback , and generally go to the clarity and precision of the text .
PEP 427 | draft| discussion | This PEP is an updated version of the draft manylinux1 PEP posted to this list a couple days ago by Nathaniel and myself.|The changes reflect the discussion on the list thanks to everyone for all of the feedback , and generally go to the clarity and precision of the text .
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| discussion | Following our discussion of last week, here is a first draft of the PEP|Following our discussion of last week , here is a first draft of the PEP
PEP 428 | draft| pronounce | I see PEP 428 is both targeted at 3.4 and still in draft status.|What remains to be done to ask for pronouncement ?
PEP null | | comments | |Please make any further comments in new issues !
PEP null | | issues | |Please make any further comments in new issues !
PEP null | | issues | |* added an integration timeline , including a December 29th deadline for the inclusion of pip 1.5 -LRB- or a subsequent maintenance release -RRB- that includes a resolution of the certificate verification issues in requests
PEP null | | issues | |added an integration timeline , including a December 29th deadline for the inclusion of pip 1.5 or a subsequent maintenance release that includes a resolution of the certificate verification issues in requests
PEP null | | issues | |added an integration timeline , including a December 29th deadline for the inclusion of pip 1.5 or a subsequent maintenance release that includes a resolution of the certificate verification issues in requests
PEP 429 | accepted| reviewing | Reliability considerations 408,44 413,49 If this PEP is accepted, the proposed time frame for integration of pip into the CPython release is as follows|However , the core CPython team will also assist with reviewing and resolving the ` certificate update management issue < https://github.com/kennethreitz/requests/issues/1659 > ` __ currently affecting the `` requests `` project -LRB- and hence `` pip `` -RRB- -LSB- #cert - verification -RSB- _ .
PEP 429 | accepted| issues | Reliability considerations 408,44 413,49 If this PEP is accepted, the proposed time frame for integration of pip into the CPython release is as follows|However , the core CPython team will also assist with reviewing and resolving the ` certificate update management issue < https://github.com/kennethreitz/requests/issues/1659 > ` __ currently affecting the `` requests `` project -LRB- and hence `` pip `` -RRB- -LSB- #cert - verification -RSB- _ .
