PEP 1| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 382| rejected | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs . | As of Monday at the PyCon sprints , both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs .
PEP 382| rejected | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs . | As of Monday at the PyCon sprints , both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs .
PEP 383| proposal | A solution that allowed any path representing object to declare that is was a path and a way to extract a low level representation that all path objects could support was desired . | This PEP then proposes to introduce a new protocol to be followed by objects which represent file system paths . | support | A solution that allowed any path representing object to declare that is was a path and a way to extract a low level representation that all path objects could support was desired .
PEP 383| proposal | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired . | This PEP then proposes to introduce a new protocol to be followed by objects which represent file system paths . | support | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired .
PEP 383| proposal | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired . | This PEP then proposes to introduce a new protocol to be followed by objects which represent file system paths . | support | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired .
PEP 383| proposal | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired . | This PEP then proposes to introduce a new protocol to be followed by objects which represent file system paths . | support | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired .
PEP 386| proposal | Notice that , from current feedback about the PEP , I understand that the avoid deep nesting '' rule sounds more valuable than the standard pattern for contributions '' . | About naming pattern for contribs , the draft PEP proposes | feedback | Notice that , from current feedback about the PEP , I understand that the avoid deep nesting '' rule sounds more valuable than the standard pattern for contributions '' .
PEP 389| proposal | Sorry for the delay , but I 've finally updated PEP 389 , the argparse PEP , based on all the feedback from python dev . | The full PEP is below , but in short , the important changes are | feedback | Sorry for the delay , but I 've finally updated PEP 389 , the argparse PEP , based on all the feedback from python dev .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 391| inviting_votes | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP . | So , can you please indicate your vote for or against incorporating PEP 391 into Python ? | consensus | I 've not asked for a vote and so I do n't know the state of community consensus regarding this PEP .
PEP 397| rejected | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs . | As of Monday at the PyCon sprints , both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs .
PEP 397| rejected | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs . | As of Monday at the PyCon sprints , both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs .
PEP 402| rejected | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs . | As of Monday at the PyCon sprints , both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs .
PEP 402| rejected | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs . | As of Monday at the PyCon sprints , both PEPs have been rejected see the Rejection Notice at the top of each PEP . | discussion | After some discussion , the decision was ultimately deferred with what appeared to be a want for parts of both PEPs .
PEP 402| rejected | At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 1 RSB . | PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 2 RSB . | discussion | At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 1 RSB .
PEP 402| rejected | At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 1 RSB . | PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 2 RSB . | discussion | At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 1 RSB .
PEP 402| rejected | Packaging Implications 232,7 255,7 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 2 RSB . | PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 3 RSB . | discussion | Packaging Implications 232,7 255,7 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 2 RSB .
PEP 402| rejected | Packaging Implications 232,7 255,7 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 2 RSB . | PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 3 RSB . | discussion | Packaging Implications 232,7 255,7 At PyCon 2012 , we had a discussion about namespace packages at which PEP 382 and PEP 402 were rejected , to be replaced by this PEP LSB 2 RSB .
PEP 405| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary or scripts . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 405| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary or scripts . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 405| proposal | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell . | For this reason , this PEP proposes to leave such scripts to be provided by third party extensions virtual environments created by the core functionality would be used by directly invoking the environment 's Python binary or scripts . | support | This is a maintenance burden , as separate activation scripts need to be provided and maintained for every supported shell .
PEP 409| proposal | I have n't seen any further discussion here or in the bug tracker . | Below is the latest version of this PEP , now with a section on Language Details . | discussion | I have n't seen any further discussion here or in the bug tracker .
PEP 410| rejected | If we decide to support nanosecond resolution in Python , a integer number of nanosecond may be enough . | But this issue looks like the PEP 410 which was rejected . | support | If we decide to support nanosecond resolution in Python , a integer number of nanosecond may be enough .
PEP 410| rejected | If we decide to support nanosecond resolution in Python , a integer number of nanosecond may be enough . | But this issue looks like the PEP 410 which was rejected . | support | If we decide to support nanosecond resolution in Python , a integer number of nanosecond may be enough .
PEP 414| accepted | Indeed , the wrangling has gone too far already . | I 'm accepting the PEP . | wrangling | Indeed , the wrangling has gone too far already .
PEP 414| proposal | By contrast , users that actually want the increased efficiency will have faced a three phase migration process by the time they have fully migrated to Python 3 original migration to the iterator based APIs after they were added in Python 2.2 migration to a separate function based API in order to run in the common subset of Python 2 and 3 eventual migration back to unprefixed method APIs when eventually dropping Python 2.7 support The view based APIs that were added to Python 2.7 do n't actually help with the transition process , as they do n't exist in Python 3 and hence are n't part of the common subset of Python 2 and Python 3 , and also are n't supported by most Python 2 mappings including the collection ABCs . | This PEP proposes to just eliminate all that annoyance by making the iterator based APIs work again in Python 3.5 . | support | By contrast , users that actually want the increased efficiency will have faced a three phase migration process by the time they have fully migrated to Python 3 original migration to the iterator based APIs after they were added in Python 2.2 migration to a separate function based API in order to run in the common subset of Python 2 and 3 eventual migration back to unprefixed method APIs when eventually dropping Python 2.7 support The view based APIs that were added to Python 2.7 do n't actually help with the transition process , as they do n't exist in Python 3 and hence are n't part of the common subset of Python 2 and Python 3 , and also are n't supported by most Python 2 mappings including the collection ABCs .
PEP 418| proposal | To avoid backwards compatibility problems in the cross platform support , that means time.monotonic must be available on every platform that currently provides time.time . | This is why Victor 's original proposal was that time.monotonic simply fall back to time.time if there was no OS level monotonic clock available . | support | To avoid backwards compatibility problems in the cross platform support , that means time.monotonic must be available on every platform that currently provides time.time .
PEP 421| member_volunteers_bdfl_delegate | I 've mentioned this in private to a few folks , with generally positive feedback . | I am formally volunteering to be PEP czar for PEP 421 , sys.implementation . | feedback | I 've mentioned this in private to a few folks , with generally positive feedback .
PEP 422| proposal | This lead to a major discussion about PEP 422 , where I discussed some possible changes to PEP 422 . | Nick proposed I write a competing PEP , so that the community may decide . | discussion | This lead to a major discussion about PEP 422 , where I discussed some possible changes to PEP 422 .
PEP 422| proposal | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init class hook in the class body . | This PEP proposes a mechanism that will once again allow the body of a class definition to more directly influence the way a class is created albeit in a more constrained fashion , as well as replacing some current uses of metaclasses with a simpler , easier to understand alternative . | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init class hook in the class body .
PEP 422| proposal | this pep proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init class hook in the class body . | this pep proposes a mechanism that will once again allow the body of a class definition to more directly influence the way a class is created albeit in a more constrained fashion , as well as replacing some current uses of metaclasses with a simpler , easier to understand alternative . | support | this pep proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init class hook in the class body .
PEP 423| proposal | Notice that , from current feedback about the PEP , I understand that the avoid deep nesting '' rule sounds more valuable than the standard pattern for contributions '' . | About naming pattern for contribs , the draft PEP proposes | feedback | Notice that , from current feedback about the PEP , I understand that the avoid deep nesting '' rule sounds more valuable than the standard pattern for contributions '' .
PEP 423| deferred | txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune.net discussions to distutils sig at python.org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects . | pep deferral further consideration of this pep has been deferred at least until after | discussion | txt 4,7 4,7 last modified date author benoit bryon benoit at marmelune.net discussions to distutils sig at python.org status draft status deferred type informational content type text x rst created 24 may 2012 28,6 28,11 specific recipes for existing projects how to apply naming guidelines on existing projects .
PEP 428| rejected | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 428| rejected | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 428| rejected_by_author | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal . | The author has rejected such proposals , yet again in order to keep the PEP focused . | support | Concerns have been raised LSB isdoor RSB about platform specific stat flags such as S ISDOOR on Solaris that Python does not currently support , and which could be added as part of this proposal .
PEP 428| proposal | A solution that allowed any path representing object to declare that is was a path and a way to extract a low level representation that all path objects could support was desired . | This PEP then proposes to introduce a new protocol to be followed by objects which represent file system paths . | support | A solution that allowed any path representing object to declare that is was a path and a way to extract a low level representation that all path objects could support was desired .
PEP 428| proposal | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired . | This PEP then proposes to introduce a new protocol to be followed by objects which represent file system paths . | support | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired .
PEP 428| proposal | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired . | This PEP then proposes to introduce a new protocol to be followed by objects which represent file system paths . | support | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired .
PEP 428| proposal | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired . | This PEP then proposes to introduce a new protocol to be followed by objects which represent file system paths . | support | A solution that allows any path representing object to declare that it is a path and a way to extract a low level representation that all path objects could support is desired .
PEP 438| accepted | Thanks everyone who 's been involved in the formulation and discussion of PEP 438 Transitioning to release file hosting on PyPI '' . | I have today accepted the PEP and the first phase of implementation is now underway , spearheaded by Donald Stufft . | discussion | Thanks everyone who 's been involved in the formulation and discussion of PEP 438 Transitioning to release file hosting on PyPI '' .
PEP 438| proposal | txt 1,5 1,5 PEP 470 Title Using Multi Index Support for External to PyPI Package File Hosting Title Using Multi Repository Support for External to PyPI Package File Hosting Version Revision Last Modified Date Author Donald Stufft donald at stufft.io , 9,192 9,212 Type Process Content Type text x rst Created 12 May 2014 Post History 14 May 2014 , 05 Jun 2014 Post History 14 May 2014 , 05 Jun 2014 , 03 Oct 2014 Replaces 438 Abstract This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API . | This PEP proposes a mechanism for project authors to register with PyPI an external repository where their project 's downloads can be located . | support | txt 1,5 1,5 PEP 470 Title Using Multi Index Support for External to PyPI Package File Hosting Title Using Multi Repository Support for External to PyPI Package File Hosting Version Revision Last Modified Date Author Donald Stufft donald at stufft.io , 9,192 9,212 Type Process Content Type text x rst Created 12 May 2014 Post History 14 May 2014 , 05 Jun 2014 Post History 14 May 2014 , 05 Jun 2014 , 03 Oct 2014 Replaces 438 Abstract This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API .
PEP 438| proposal | In addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking offsite via the simple API . | Finally this PEP also proposes deprecating and removing the functionality added by PEP 438 , particularly the additional rel information and the meta tag to indicate the API version . | support | In addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking offsite via the simple API .
PEP 438| proposal | txt 24,7 24,7 addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking offsite via the simple API . | Finally this PEP also proposes deprecating linking off site via the simple API . | support | txt 24,7 24,7 addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking offsite via the simple API .
PEP 438| proposal | In addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking off site via the simple API . | Finally this PEP also proposes deprecating and removing the functionality added by PEP 438 , particularly the additional rel information and the meta tag to indicate the API version . | support | In addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking off site via the simple API .
PEP 438| proposal | In addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking off site via the simple API . | Finally this PEP also proposes deprecating and removing the functionality added by PEP 438 , particularly the additional rel information and the meta tag to indicate the API version . | support | In addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking off site via the simple API .
PEP 444| deferred | txt 5,7 5,7 author chris mcdonough chrism at plope.com , armin ronacher armin.ronacher at active 4.com discussions to python web sig web sig at python.org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks . | pep deferral further exploration of the concepts covered in this pep has been deferred for lack of a current champion interested in promoting the goals of the pep and collecting and incorporating feedback , and with sufficient available time to do so effectively . | discussion | txt 5,7 5,7 author chris mcdonough chrism at plope.com , armin ronacher armin.ronacher at active 4.com discussions to python web sig web sig at python.org status draft status deferred type informational content type text x rst created 19 jul 2010 18,6 18,18 interface between web servers and python web applications or frameworks .
PEP 447| proposal | I?ve just pushes a minor update to the PEP and would like to get some feedback on this , arguably fairly esoteric , PEP . | The PEP proposes to to replace direct access to the class dict in object . | feedback | I?ve just pushes a minor update to the PEP and would like to get some feedback on this , arguably fairly esoteric , PEP .
PEP 458| proposal | That is , this PEP delineates the expected cryptographic key type and signature format included in metadata that MUST be uploaded by developers in order to support end to end verification of distributions . | Rationale PEP 458 LSB 1 RSB proposes how PyPI should be integrated with The Update Framework TUF LSB 2 RSB . | support | That is , this PEP delineates the expected cryptographic key type and signature format included in metadata that MUST be uploaded by developers in order to support end to end verification of distributions .
PEP 462| proposal | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | support | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket .
PEP 462| proposal | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | support | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket .
PEP 470| proposal | I believe I 'm up to date with its contents and the quite significant , and detailed discussion around it . | To summarise my understanding , PEP 470 proposes to remove the current link spidering pypi scrape , pypi scrape crawl while retaining explicit hosting pypi explicit . | discussion | I believe I 'm up to date with its contents and the quite significant , and detailed discussion around it .
PEP 470| proposal | I believe I 'm up to date with its contents and the quite significant , and detailed discussion around it . | To summarise my understanding , PEP 470 proposes to remove the current link spidering pypi scrape , pypi scrape crawl while retaining explicit hosting pypi explicit . | discussion | I believe I 'm up to date with its contents and the quite significant , and detailed discussion around it .
PEP 470| proposal | pip 's own existing multiple index support is what makes devpi and its concept not only of private indexes , but also separate dev , staging and production indexes , possible . | PEP 470 proposes to make some small enhancements to the multiple index support in order to allow subsequent deprecation and removal of the complicated and largely redundant link spidering system . | support | pip 's own existing multiple index support is what makes devpi and its concept not only of private indexes , but also separate dev , staging and production indexes , possible .
PEP 470| proposal | txt 1,5 1,5 PEP 470 Title Using Multi Index Support for External to PyPI Package File Hosting Title Using Multi Repository Support for External to PyPI Package File Hosting Version Revision Last Modified Date Author Donald Stufft donald at stufft.io , 9,192 9,212 Type Process Content Type text x rst Created 12 May 2014 Post History 14 May 2014 , 05 Jun 2014 Post History 14 May 2014 , 05 Jun 2014 , 03 Oct 2014 Replaces 438 Abstract This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API . | This PEP proposes a mechanism for project authors to register with PyPI an external repository where their project 's downloads can be located . | support | txt 1,5 1,5 PEP 470 Title Using Multi Index Support for External to PyPI Package File Hosting Title Using Multi Repository Support for External to PyPI Package File Hosting Version Revision Last Modified Date Author Donald Stufft donald at stufft.io , 9,192 9,212 Type Process Content Type text x rst Created 12 May 2014 Post History 14 May 2014 , 05 Jun 2014 Post History 14 May 2014 , 05 Jun 2014 , 03 Oct 2014 Replaces 438 Abstract This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API .
PEP 470| proposal | txt 24,7 24,7 addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking offsite via the simple API . | Finally this PEP also proposes deprecating linking off site via the simple API . | support | txt 24,7 24,7 addition to adding discovery information to make explicit multiple repositories easy to use , this PEP also deprecates and removes the implicit multiple repository support which currently functions through directly or indirectly linking offsite via the simple API .
PEP 474| proposal | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | support | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket .
PEP 476| accepted | True , but this is a repeat of the PEP 476 discussion . | Something has changed in the meantime PEP 476 was accepted and its code has shipped in an official release . | discussion | True , but this is a repeat of the PEP 476 discussion .
PEP 479| proposal | And regardless of how much discussion coroutines generate the fact remains that 99 of generators are used purely for iteration . | I propose to abolish this notion that generators are not iterators and to amend the text of the PEP to unambiguously state that generators are iterators regardless of any changes to the way they propagate StopIteration from the executing frame . | discussion | And regardless of how much discussion coroutines generate the fact remains that 99 of generators are used purely for iteration .
PEP 479| accepted | The intention is not to restart the debate . | PEP is approved , it 's done ... but ... | debate | The intention is not to restart the debate .
PEP 498| proposal | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python . | Proposal This PEP proposes that the new syntax value ! | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , based on a new interpolate magic method , and using a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python .
PEP 498| proposal | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python . | To address that problem and a number of other concerns , this PEP proposes the complementary introduction of i strings '' a mnemonic for interpolation template strings '' , where f Message with LCB data RCB '' would produce the same result as format i Message with LCB data RCB '' . | support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python .
PEP 506| deferred | PEP Withdrawal During discussion of this PEP , Steven D'Aprano proposed the simpler alternative of offering a standardised secrets module that provides one obvious way '' to handle security sensitive tasks like generating default passwords and other tokens . | Steven 's proposal has the desired effect of aligning the easy way to generate such tokens and the right way to generate them , without introducing any compatibility risks for the existing random module API , so this PEP has been deferred in favour of further work on refining Steven 's proposal as PEP 506 . | discussion | PEP Withdrawal During discussion of this PEP , Steven D'Aprano proposed the simpler alternative of offering a standardised secrets module that provides one obvious way '' to handle security sensitive tasks like generating default passwords and other tokens .
PEP 520| updated | Thanks for the feedback . | I 've updated the PEP to resolve the open questions . | feedback | Thanks for the feedback .
PEP 530| proposal | PEP 492 and PEP 525 introduce support for native coroutines and asynchronous generators using async await syntax . | This PEP proposes to add asynchronous versions of list , set , dict comprehensions and generator expressions . | support | PEP 492 and PEP 525 introduce support for native coroutines and asynchronous generators using async await syntax .
PEP 532| proposal | To properly support logical negation of circuit breakers , a new not protocol method would also be introduced allowing objects to control the result of not obj expressions . | As shown in the basic example above , the PEP further proposes the addition of builtin exists and missing circuit breakers that provide conditional branching based on whether or not an object is None , but return the original object rather than the existence checking wrapper when the expression evaluation short circuits . | support | To properly support logical negation of circuit breakers , a new not protocol method would also be introduced allowing objects to control the result of not obj expressions .
PEP 538| proposal | That PEP has now been through its initial round of review on the Python Linux SIG , and updated to address both the feedback received there , as well as some of the points Victor raised in PEP 540 . | The rendered version is available at https www.python.org dev peps pep 0538 and the plain text version is included inline below . | feedback | That PEP has now been through its initial round of review on the Python Linux SIG , and updated to address both the feedback received there , as well as some of the points Victor raised in PEP 540 .
PEP 3000| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 3000| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 3000| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 3000| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 3000| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 3000| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 3000| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
PEP 3000| bdfl_pronouncement | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations . | Guido agreed , indicating that args will continue to be sequences in Python 3.0 . | discussion | I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for args , sequences were preferable to iterators in a number of situations .
