PEP 318 | proposal | discussion | My humble hope is that this document helps to improve the quality of the ongoing discussion . | Knowing we want something ' , but not spelling it out . | 2 .
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | txt 0,0 1,303 PEP 488 Title Elimination of PYO files Version Revision Last Modified Date Author Brett Cannon brett at python.org Status Draft Type Standards Track Content Type textx rst Created 20 Feb 2015 Post History 2015 03 06 Abstract This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 465 | call_for_poll | poll result | I have closed the issue of file name formatting thanks to the informal poll results being very clear on the preferred format and also closed the idea of embedding the optimization level in the bytecode file metadata that can be another PEP if someone cares to write that one . | Here is the latest draft of the PEP . | 
PEP 465 | call_for_poll | poll result | I have closed the issue of file name formatting thanks to the informal poll results being very clear on the preferred format and also closed the idea of embedding the optimization level in the bytecode file metadata that can be another PEP if someone cares to write that one . | Here is the latest draft of the PEP . | 
PEP 465 | call_for_poll | poll result | I have closed the issue of file name formatting thanks to the informal poll results being very clear on the preferred format and also closed the idea of embedding the optimization level in the bytecode file metadata that can be another PEP if someone cares to write that one . | Here is the latest draft of the PEP . | 
PEP 465 | call_for_poll | poll result | I have closed the issue of file name formatting thanks to the informal poll results being very clear on the preferred format and also closed the idea of embedding the optimization level in the bytecode file metadata that can be another PEP if someone cares to write that one . | Here is the latest draft of the PEP . | 
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in the bytecode repository directory when it 's called for i.e. , the pycache directory . | This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 470 | proposal | support | This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API . | Abstract | It is important to remember that this is   not   about forcing anyone to host their files on PyPI .
PEP 470 | proposal | support | This PEP proposes that the official means of having an installer locate and find package files which are hosted externally to PyPI become the use of multi index support instead of the practice of using external links on the simple installer API . | Abstract | It is important to remember that this is   not   about forcing anyone to host their files on PyPI .
PEP 470 | proposal | support | I 've put forward a PEP that proposes a way to resolve the problems with reliability and implicitness of the current method of not hosting PyPI with centralizing around the multiple indexURL support . | That being said , nobody is trying to mandate that everyone must upload to PyPI . | 
PEP 470 | null | support | Since the multiple index support is the more powerful and flexible of the two systems , while also being simpler to implement and easier to understand , PEP 470 now proposes to standardise on that system for PyPI 's external hosting support , with a few additional enhancements to address the discoverability issues that would otherwise arise . | It turns out the link spidering system is not only overly complicated and relatively hard to both understand and implement , but also largely redundant given the support for multiple indexes in the installation tools . | The link spidering system will eventually go away and we 'll then be left with a fairly conventional   multiple repository '' model , plus a few nice repository discovery features that most other such systems do n't have .
PEP 470 | null | support | Since the multiple index support is the more powerful and flexible of the two systems , while also being simpler to implement and easier to understand , PEP 470 now proposes to standardise on that system for PyPI 's external hosting support , with a few additional enhancements to address the discoverability issues that would otherwise arise . | It turns out the link spidering system is not only overly complicated and relatively hard to both understand and implement , but also largely redundant given the support for multiple indexes in the installation tools . | The link spidering system will eventually go away and we 'll then be left with a fairly conventional   multiple repository '' model , plus a few nice repository discovery features that most other such systems do n't have .
PEP 470 | null | support | Since the multiple index support is the more powerful and flexible of the two systems , while also being simpler to implement and easier to understand , PEP 470 now proposes to standardise on that system for PyPI 's external hosting support , with a few additional enhancements to address the discoverability issues that would otherwise arise . | It turns out the link spidering system is not only overly complicated and relatively hard to both understand and implement , but also largely redundant given the support for multiple indexes in the installation tools . | The link spidering system will eventually go away and we 'll then be left with a fairly conventional   multiple repository '' model , plus a few nice repository discovery features that most other such systems do n't have .
PEP 470 | proposal | support | Since the multiple index support is the more powerful and flexible of the two systems , while also being simpler to implement and easier to understand , PEP 470 now proposes to standardise on that system for PyPI 's external hosting support , with a few additional enhancements to address the discoverability issues that would otherwise arise . | It turns out the link spidering system is not only overly complicated and relatively hard to both understand and implement , but also largely redundant given the support for multiple indexes in the installation tools . | The link spidering system will eventually go away and we 'll then be left with a fairly conventional   multiple repository '' model , plus a few nice repository discovery features that most other such systems do n't have .
PEP 471 | updated | feedback | After some very good python dev feedback on my first version of PEP 471 , I 've updated the PEP to clarify a few things and added various Rejected ideas '' subsections . | Hi folks , | 
PEP 471 | updated | feedback | After some very good python dev feedback on my first version of PEP 471 , I 've updated the PEP to clarify a few things and added various Rejected ideas '' subsections . | Hi folks , | 
PEP 471 | null | discussion | The discussions around PEP 471 deferred discussions of bytes and file descriptor support to their own RFEs not needing a PEP , they did n't decide definitively not to support them . | Yes . | 
PEP 471 | null | discussion | The discussions around PEP 471 deferred discussions of bytes and file descriptor support to their own RFEs not needing a PEP , they did n't decide definitively not to support them . | Yes . | 
PEP 471 | null | discussion | The discussions around PEP 471 deferred discussions of bytes and file descriptor support to their own RFEs not needing a PEP , they did n't decide definitively not to support them . | Yes . | 
PEP 472 | proposal | discussion | txt 0,0 1,653 PEP 472 Title Support for indexing with keyword arguments Version Revision Last Modified Date Author Stefano Borini , Joseph Martinot Lagarde Discussion To python ideas at python.org Status Draft Type Standards Track Content Type textx rst Created 24 Jun 2014 Python Version 3.6 Post History 02 Jul 2014 Abstract This PEP proposes an extension of the indexing operation to support keyword arguments . | txt new file mode 100644 devnull bpep 0472 . | 
PEP 472 | proposal | support | txt 0,0 1,653 PEP 472 Title Support for indexing with keyword arguments Version Revision Last Modified Date Author Stefano Borini , Joseph Martinot Lagarde Discussion To python ideas at python.org Status Draft Type Standards Track Content Type textx rst Created 24 Jun 2014 Python Version 3.6 Post History 02 Jul 2014 Abstract This PEP proposes an extension of the indexing operation to support keyword arguments . | txt new file mode 100644 devnull bpep 0472 . | 
PEP 472 | proposal | support | txt 0,0 1,653 PEP 472 Title Support for indexing with keyword arguments Version Revision Last Modified Date Author Stefano Borini , Joseph Martinot Lagarde Discussion To python ideas at python.org Status Draft Type Standards Track Content Type textx rst Created 24 Jun 2014 Python Version 3.6 Post History 02 Jul 2014 Abstract This PEP proposes an extension of the indexing operation to support keyword arguments . | txt new file mode 100644 devnull bpep 0472 . | 
PEP 472 | null | discussion | txt 0,0 1,653 PEP 472 Title Support for indexing with keyword arguments Version Revision Last Modified Date Author Stefano Borini , Joseph Martinot Lagarde Discussion To python ideas at python.org Status Draft Type Standards Track Content Type textx rst Created 24 Jun 2014 Python Version 3.6 Post History 02 Jul 2014 Abstract This PEP proposes an extension of the indexing operation to support keyword arguments . | txt new file mode 100644 devnull bpep 0472 . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | 
PEP 474 | proposal | support | This PEP proposes migrating to Git and Github for certain supporting repositories such as the repository for Python Enhancement Proposals in a way that is more accessible to new contributors , and easier to manage for core developers . | Abstract | 
PEP 474 | updated | support | I 've now updated PEP 474 to cover my current proposal for the support repositories , as well as some of the preparatory work that is already being undertaken https www.python.orgdevpepspep 0474 | my thinking about the development process . | 
PEP 474 | updated | support | I 've now updated PEP 474 to cover my current proposal for the support repositories , as well as some of the preparatory work that is already being undertaken https www.python.orgdevpepspep 0474 | my thinking about the development process . | 
PEP 474 | updated | support | I 've now updated PEP 474 to cover my current proposal for the support repositories , as well as some of the preparatory work that is already being undertaken https www.python.orgdevpepspep 0474 | my thinking about the development process . | 
PEP 474 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | In particular this PEP proposes changes to the following repositories https hg.python.orgdevguide https hg.python.orgdevinabox https hg.python.orgpeps This PEP does not propose any changes to the core development workflow for CPython itself . | 
PEP 474 | null | support | This particular PEP is offered as an alternative to PEP 474 and PEP 462 which aims to achieve the same overall benefits but restricts itself to tools that support Mercurial and are completely Open Source . | It also proposes adding Phabricator as an alternative to Github Pull Requests to handle reviewing changes . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . |    Suggestions for clarifying edits are still welcome   unlike IETF RFCs , the text of a PEP is not cast in stone after its acceptance , although the core design plan specification should not change after acceptance .  ) 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | The problem you think PEP 479 is trying to solve is the one where the discussion started , but it is not the one where it ended when Guido accepted PEP 479 . | It even managed to introduce obscure bugs around the use of generators to write context managers , where factoring out part of the context manager to a subgenerator may implicitly suppress a StopIteration exception raised in the body of the with statement . | 
PEP 479 | null | discussion | The problem you think PEP 479 is trying to solve is the one where the discussion started , but it is not the one where it ended when Guido accepted PEP 479 . | It even managed to introduce obscure bugs around the use of generators to write context managers , where factoring out part of the context manager to a subgenerator may implicitly suppress a StopIteration exception raised in the body of the with statement . | 
PEP 479 | null | discussion | The problem you think PEP 479 is trying to solve is the one where the discussion started , but it is not the one where it ended when Guido accepted PEP 479 . | It even managed to introduce obscure bugs around the use of generators to write context managers , where factoring out part of the context manager to a subgenerator may implicitly suppress a StopIteration exception raised in the body of the with statement . | 
PEP 479 | null | discussion | The problem you think PEP 479 is trying to solve is the one where the discussion started , but it is not the one where it ended when Guido accepted PEP 479 . | It even managed to introduce obscure bugs around the use of generators to write context managers , where factoring out part of the context manager to a subgenerator may implicitly suppress a StopIteration exception raised in the body of the with statement . | 
PEP 479 | null | discussion | The problem you think PEP 479 is trying to solve is the one where the discussion started , but it is not the one where it ended when Guido accepted PEP 479 . | In another thread , Nick wrote to Oscar | 
PEP 479 | null | discussion | The problem you think PEP 479 is trying to solve is the one where the discussion started , but it is not the one where it ended when Guido accepted PEP 479 . | In another thread , Nick wrote to Oscar | 
PEP 479 | null | discussion | The problem you think PEP 479 is trying to solve is the one where the discussion started , but it is not the one where it ended when Guido accepted PEP 479 . | In another thread , Nick wrote to Oscar | 
PEP 479 | null | discussion | The problem you think PEP 479 is trying to solve is the one where the discussion started , but it is not the one where it ended when Guido accepted PEP 479 . | In another thread , Nick wrote to Oscar | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 481 | proposal | support | This PEP proposes migrating to Git and Github for certain supporting repositories such as the repository for Python Enhancement Proposals in a way that is more accessible to new contributors , and easier to manage for core developers . | Abstract | 
PEP 481 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | In particular this PEP proposes changes to the following repositories https hg.python.orgdevguide https hg.python.orgdevinabox https hg.python.orgpeps This PEP does not propose any changes to the core development workflow for CPython itself . | 
PEP 481 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | note This PEP has been withdrawn , if you 're looking for the PEP documenting the move to Github , please refer to PEP 512 . | 
PEP 483 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 483 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
